observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/2929,player_season,2024-25,,169528,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,169528,UNRESOLVED,,no existing verified Player Research closure
player_season/2930,player_season,2024-25,,591385,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,591385,UNRESOLVED,,no existing verified Player Research closure
player_season/2931,player_season,2024-25,,153366,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,153366,UNRESOLVED,,no existing verified Player Research closure
player_season/2932,player_season,2024-25,,153682,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,153682,UNRESOLVED,,no existing verified Player Research closure
player_season/2933,player_season,2024-25,,76357,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,76357,UNRESOLVED,,no existing verified Player Research closure
player_season/2934,player_season,2024-25,,207189,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,207189,UNRESOLVED,,no existing verified Player Research closure
player_season/2935,player_season,2024-25,,156689,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,156689,UNRESOLVED,,no existing verified Player Research closure
player_season/2936,player_season,2024-25,,212314,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,212314,UNRESOLVED,,no existing verified Player Research closure
player_season/2937,player_season,2024-25,,577725,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,577725,UNRESOLVED,,no existing verified Player Research closure
player_season/2938,player_season,2024-25,,184349,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,184349,UNRESOLVED,,no existing verified Player Research closure
player_season/2939,player_season,2024-25,,209289,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,209289,UNRESOLVED,,no existing verified Player Research closure
player_season/2940,player_season,2024-25,,102057,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,102057,UNRESOLVED,,no existing verified Player Research closure
player_season/2941,player_season,2024-25,,244042,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,244042,UNRESOLVED,,no existing verified Player Research closure
player_season/2942,player_season,2024-25,,159533,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,159533,UNRESOLVED,,no existing verified Player Research closure
player_season/2943,player_season,2024-25,,245824,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,245824,UNRESOLVED,,no existing verified Player Research closure
player_season/2944,player_season,2024-25,,153133,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,153133,UNRESOLVED,,no existing verified Player Research closure
