observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/6197,team_match,2024-25,2444529,,2444529,20,VERIFIED,60,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6198,team_match,2024-25,2444529,,2444529,12,VERIFIED,60,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6199,team_match,2024-25,2444530,,2444530,1,VERIFIED,61,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6200,team_match,2024-25,2444530,,2444530,17,VERIFIED,61,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:20
team_match/6201,team_match,2024-25,2444531,,2444531,2,VERIFIED,62,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6202,team_match,2024-25,2444531,,2444531,14,VERIFIED,62,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:1
team_match/6203,team_match,2024-25,2444532,,2444532,4,VERIFIED,63,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6204,team_match,2024-25,2444532,,2444532,20,VERIFIED,63,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6205,team_match,2024-25,2444533,,2444533,5,VERIFIED,64,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6206,team_match,2024-25,2444533,,2444533,18,VERIFIED,64,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:6
