source_player_id,canonical_player_identity,closure_status,evidence_basis
1130222,owen bevan,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1130223,ben greenwood,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1134530,luke chambers,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1134718,joe whitworth,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1134729,luke harris,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1135879,travis patterson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1136730,lewis hall,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1137431,michael kayode,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138140,james sweet,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138145,jadan raymond,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138421,mason burstow,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138428,james mcconnell,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138445,james wright,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138842,amario cozier-duberry,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1138843,reuell walters,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142130,ted curd,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142137,ronnie stutter,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142185,leo castledine,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142636,stefan bajcetic,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142638,bobby clark,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1142679,wilson odobert,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1143930,charlie robinson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1143931,devan tanton,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1144949,elijah campbell,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1149922,cameron plain,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1149927,euan pollock,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1150958,tommy setford,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1152923,kosta nedeljković,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
115346,nathan redmond,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1156586,james hill,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1162083,omari kellyman,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1167065,kadan young,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1167601,vincent angelini,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
117083,stuart armstrong,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1174472,tyler dibling,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1175204,bradley ibrahim,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1176104,malcolm ebiowei,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1176744,dean huijsen,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1177007,ryan trevitt,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1177183,martin sherif,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
117777,granit xhaka,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
118179,tim ream,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1185061,kim ji-soo,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1185603,kaden rodney,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1186050,alex matos,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1186057,jimmy morgan,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1186812,finley munroe,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1190712,matai akinmboni,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1190938,martial godo,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
119151,mohamed elyounoussi,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1196791,ishé samuels-smith,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1201520,julio soler,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1212153,ademola ola-adebomi,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
