field_name,grain,resource,identity_contract
metersCoveredRunningKm,player_match,player_match,player_identity_to_player_match_observations
metersCoveredSprintingKm,player_match,player_match,player_identity_to_player_match_observations
metersCoveredWalkingKm,player_match,player_match,player_identity_to_player_match_observations
minutesPlayed,player_match,player_match,player_identity_to_player_match_observations
onTargetScoringAttempt,player_match,player_match,player_identity_to_player_match_observations
outfielderBlock,player_match,player_match,player_identity_to_player_match_observations
ownGoals,player_match,player_match,player_identity_to_player_match_observations
penaltyConceded,player_match,player_match,player_identity_to_player_match_observations
penaltyFaced,player_match,player_match,player_identity_to_player_match_observations
penaltyMiss,player_match,player_match,player_identity_to_player_match_observations
penaltySave,player_match,player_match,player_identity_to_player_match_observations
penaltyWon,player_match,player_match,player_identity_to_player_match_observations
pl_code,player_match,player_match,player_identity_to_player_match_observations
playerId,player_match,player_match,player_identity_to_player_match_observations
playerName,player_match,player_match,player_identity_to_player_match_observations
position,player_match,player_match,player_identity_to_player_match_observations
possessionLostCtrl,player_match,player_match,player_identity_to_player_match_observations
progressiveBallCarriesCount,player_match,player_match,player_identity_to_player_match_observations
punches,player_match,player_match,player_identity_to_player_match_observations
rating,player_match,player_match,player_identity_to_player_match_observations
savedShotsFromInsideTheBox,player_match,player_match,player_identity_to_player_match_observations
saves,player_match,player_match,player_identity_to_player_match_observations
season,player_match,player_match,player_identity_to_player_match_observations
shotOffTarget,player_match,player_match,player_identity_to_player_match_observations
slug,player_match,player_match,player_identity_to_player_match_observations
substitute,player_match,player_match,player_identity_to_player_match_observations
substitute.1,player_match,player_match,player_identity_to_player_match_observations
team,player_match,player_match,player_identity_to_player_match_observations
team_id,player_match,player_match,player_identity_to_player_match_observations
totalBallCarriesDistance,player_match,player_match,player_identity_to_player_match_observations
totalClearance,player_match,player_match,player_identity_to_player_match_observations
totalContest,player_match,player_match,player_identity_to_player_match_observations
totalCross,player_match,player_match,player_identity_to_player_match_observations
totalKeeperSweeper,player_match,player_match,player_identity_to_player_match_observations
totalLongBalls,player_match,player_match,player_identity_to_player_match_observations
totalOffside,player_match,player_match,player_identity_to_player_match_observations
totalOppositionHalfPasses,player_match,player_match,player_identity_to_player_match_observations
totalOwnHalfPasses,player_match,player_match,player_identity_to_player_match_observations
totalPass,player_match,player_match,player_identity_to_player_match_observations
totalProgression,player_match,player_match,player_identity_to_player_match_observations
totalProgressiveBallCarriesDistance,player_match,player_match,player_identity_to_player_match_observations
totalShots,player_match,player_match,player_identity_to_player_match_observations
totalTackle,player_match,player_match,player_identity_to_player_match_observations
touches,player_match,player_match,player_identity_to_player_match_observations
unsuccessfulTouch,player_match,player_match,player_identity_to_player_match_observations
venue,player_match,player_match,player_identity_to_player_match_observations
wasFouled,player_match,player_match,player_identity_to_player_match_observations
wonContest,player_match,player_match,player_identity_to_player_match_observations
wonTackle,player_match,player_match,player_identity_to_player_match_observations
aerialDuels,player_season,player_season,source_player_identity_to_player_season
aerialDuelsLost,player_season,player_season,source_player_identity_to_player_season
aerialDuelsWon,player_season,player_season,source_player_identity_to_player_season
appearances,player_season,player_season,source_player_identity_to_player_season
attemptsFromSetPieces,player_season,player_season,source_player_identity_to_player_season
awayGoals,player_season,player_season,source_player_identity_to_player_season
backwardPasses,player_season,player_season,source_player_identity_to_player_season
blockedShots,player_season,player_season,source_player_identity_to_player_season
blocks,player_season,player_season,source_player_identity_to_player_season
catches,player_season,player_season,source_player_identity_to_player_season
cleanSheets,player_season,player_season,source_player_identity_to_player_season
clearancesOffTheLine,player_season,player_season,source_player_identity_to_player_season
cornersTakenInclShortCorners,player_season,player_season,source_player_identity_to_player_season
cornersWon,player_season,player_season,source_player_identity_to_player_season
crossesNotClaimed,player_season,player_season,source_player_identity_to_player_season
drops,player_season,player_season,source_player_identity_to_player_season
duels,player_season,player_season,source_player_identity_to_player_season
duelsLost,player_season,player_season,source_player_identity_to_player_season
duelsWon,player_season,player_season,source_player_identity_to_player_season
expectedAssists,player_season,player_season,source_player_identity_to_player_season
expectedGoals,player_season,player_season,source_player_identity_to_player_season
expectedGoalsFreekick,player_season,player_season,source_player_identity_to_player_season
expectedGoalsOnTarget,player_season,player_season,source_player_identity_to_player_season
expectedGoalsOnTargetConceded,player_season,player_season,source_player_identity_to_player_season
fiftyFifty,player_season,player_season,source_player_identity_to_player_season
forwardPasses,player_season,player_season,source_player_identity_to_player_season
foulAttemptedTackle,player_season,player_season,source_player_identity_to_player_season
foulWonPenalty,player_season,player_season,source_player_identity_to_player_season
freekickTotal,player_season,player_season,source_player_identity_to_player_season
gamesPlayed,player_season,player_season,source_player_identity_to_player_season
gkSuccessfulDistribution,player_season,player_season,source_player_identity_to_player_season
gkUnsuccessfulDistribution,player_season,player_season,source_player_identity_to_player_season
goalAssists,player_season,player_season,source_player_identity_to_player_season
goalKicks,player_season,player_season,source_player_identity_to_player_season
goalkeeperSmother,player_season,player_season,source_player_identity_to_player_season
goals,player_season,player_season,source_player_identity_to_player_season
goalsConceded,player_season,player_season,source_player_identity_to_player_season
goalsConcededInsideBox,player_season,player_season,source_player_identity_to_player_season
goalsConcededOutsideBox,player_season,player_season,source_player_identity_to_player_season
groundDuels,player_season,player_season,source_player_identity_to_player_season
groundDuelsLost,player_season,player_season,source_player_identity_to_player_season
groundDuelsWon,player_season,player_season,source_player_identity_to_player_season
handballsConceded,player_season,player_season,source_player_identity_to_player_season
headedGoals,player_season,player_season,source_player_identity_to_player_season
hitWoodwork,player_season,player_season,source_player_identity_to_player_season
homeGoals,player_season,player_season,source_player_identity_to_player_season
iboxBlocked,player_season,player_season,source_player_identity_to_player_season
iboxTarget,player_season,player_season,source_player_identity_to_player_season
interceptions,player_season,player_season,source_player_identity_to_player_season
keyPassesAttemptAssists,player_season,player_season,source_player_identity_to_player_season
lastPlayerTackle,player_season,player_season,source_player_identity_to_player_season
leftFootGoals,player_season,player_season,source_player_identity_to_player_season
leftsidePasses,player_season,player_season,source_player_identity_to_player_season
nationality,player_season,player_season,source_player_identity_to_player_season
oboxBlocked,player_season,player_season,source_player_identity_to_player_season
oboxTarget,player_season,player_season,source_player_identity_to_player_season
offsides,player_season,player_season,source_player_identity_to_player_season
openPlayPasses,player_season,player_season,source_player_identity_to_player_season
otherGoals,player_season,player_season,source_player_identity_to_player_season
overruns,player_season,player_season,source_player_identity_to_player_season
ownGoalScored,player_season,player_season,source_player_identity_to_player_season
penaltiesConceded,player_season,player_season,source_player_identity_to_player_season
penaltiesFaced,player_season,player_season,source_player_identity_to_player_season
penaltiesSaved,player_season,player_season,source_player_identity_to_player_season
penaltiesTaken,player_season,player_season,source_player_identity_to_player_season
penaltyGoals,player_season,player_season,source_player_identity_to_player_season
penaltyGoalsConceded,player_season,player_season,source_player_identity_to_player_season
playerId,player_season,player_season,source_player_identity_to_player_season
playerName,player_season,player_season,source_player_identity_to_player_season
position,player_season,player_season,source_player_identity_to_player_season
punches,player_season,player_season,source_player_identity_to_player_season
putthroughBlockedDistribution,player_season,player_season,source_player_identity_to_player_season
putthroughBlockedDistributionWon,player_season,player_season,source_player_identity_to_player_season
recoveries,player_season,player_season,source_player_identity_to_player_season
redCards2ndYellow,player_season,player_season,source_player_identity_to_player_season
rightFootGoals,player_season,player_season,source_player_identity_to_player_season
rightsidePasses,player_season,player_season,source_player_identity_to_player_season
savesFromPenalty,player_season,player_season,source_player_identity_to_player_season
savesMade,player_season,player_season,source_player_identity_to_player_season
savesMadeCaught,player_season,player_season,source_player_identity_to_player_season
savesMadeFromInsideBox,player_season,player_season,source_player_identity_to_player_season
savesMadeFromOutsideBox,player_season,player_season,source_player_identity_to_player_season
savesMadeParried,player_season,player_season,source_player_identity_to_player_season
season,player_season,player_season,source_player_identity_to_player_season
secondGoalAssists,player_season,player_season,source_player_identity_to_player_season
setPiecesGoals,player_season,player_season,source_player_identity_to_player_season
shotsBlockedInBox,player_season,player_season,source_player_identity_to_player_season
shotsBlockedOutsideBox,player_season,player_season,source_player_identity_to_player_season
shotsOffTargetIncWoodwork,player_season,player_season,source_player_identity_to_player_season
shotsOnTargetInBox,player_season,player_season,source_player_identity_to_player_season
shotsOnTargetIncGoals,player_season,player_season,source_player_identity_to_player_season
shotsOnTargetOutsideBox,player_season,player_season,source_player_identity_to_player_season
starts,player_season,player_season,source_player_identity_to_player_season
straightRedCards,player_season,player_season,source_player_identity_to_player_season
substituteOff,player_season,player_season,source_player_identity_to_player_season
substituteOn,player_season,player_season,source_player_identity_to_player_season
successfulCornersIntoBox,player_season,player_season,source_player_identity_to_player_season
successfulCrossesAndCorners,player_season,player_season,source_player_identity_to_player_season
successfulCrossesOpenPlay,player_season,player_season,source_player_identity_to_player_season
successfulDribbles,player_season,player_season,source_player_identity_to_player_season
successfulFiftyFifty,player_season,player_season,source_player_identity_to_player_season
successfulLaunches,player_season,player_season,source_player_identity_to_player_season
successfulLayoffs,player_season,player_season,source_player_identity_to_player_season
successfulLongPasses,player_season,player_season,source_player_identity_to_player_season
successfulPassesOppositionHalf,player_season,player_season,source_player_identity_to_player_season
successfulPassesOwnHalf,player_season,player_season,source_player_identity_to_player_season
successfulShortPasses,player_season,player_season,source_player_identity_to_player_season
