field_name,grain,resource,identity_contract
totalAttAssist,team_match,team_match,canonical_team_season_to_source_team
totalBackZonePass,team_match,team_match,canonical_team_season_to_source_team
totalChippedPass,team_match,team_match,canonical_team_season_to_source_team
totalClearance,team_match,team_match,canonical_team_season_to_source_team
totalContest,team_match,team_match,canonical_team_season_to_source_team
totalCornersIntobox,team_match,team_match,canonical_team_season_to_source_team
totalCross,team_match,team_match,canonical_team_season_to_source_team
totalCrossNocorner,team_match,team_match,canonical_team_season_to_source_team
totalDistance,team_match,team_match,canonical_team_season_to_source_team
totalFastbreak,team_match,team_match,canonical_team_season_to_source_team
totalFinalThirdPasses,team_match,team_match,canonical_team_season_to_source_team
totalFlickOn,team_match,team_match,canonical_team_season_to_source_team
totalFwdZonePass,team_match,team_match,canonical_team_season_to_source_team
totalHighClaim,team_match,team_match,canonical_team_season_to_source_team
totalKeeperSweeper,team_match,team_match,canonical_team_season_to_source_team
totalLaunches,team_match,team_match,canonical_team_season_to_source_team
totalLayoffs,team_match,team_match,canonical_team_season_to_source_team
totalLongBalls,team_match,team_match,canonical_team_season_to_source_team
totalOffside,team_match,team_match,canonical_team_season_to_source_team
totalPass,team_match,team_match,canonical_team_season_to_source_team
totalPullBack,team_match,team_match,canonical_team_season_to_source_team
totalRedCard,team_match,team_match,canonical_team_season_to_source_team
totalScoringAtt,team_match,team_match,canonical_team_season_to_source_team
totalTackle,team_match,team_match,canonical_team_season_to_source_team
totalThroughBall,team_match,team_match,canonical_team_season_to_source_team
totalThrows,team_match,team_match,canonical_team_season_to_source_team
totalYelCard,team_match,team_match,canonical_team_season_to_source_team
touches,team_match,team_match,canonical_team_season_to_source_team
touchesInOppBox,team_match,team_match,canonical_team_season_to_source_team
unsuccessfulTouch,team_match,team_match,canonical_team_season_to_source_team
venue,team_match,team_match,canonical_team_season_to_source_team
winningGoal,team_match,team_match,canonical_team_season_to_source_team
wonContest,team_match,team_match,canonical_team_season_to_source_team
wonCorners,team_match,team_match,canonical_team_season_to_source_team
wonTackle,team_match,team_match,canonical_team_season_to_source_team
yellowCard,team_match,team_match,canonical_team_season_to_source_team
