grain,season,fixture_id,source_match_id,venue_role,source_team_id,team_season_id,fixture_attachment_status,team_attachment_status
team_match,2016-17,37,855208,AWAY,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,38,855211,HOME,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,38,855211,AWAY,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,39,855210,HOME,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,39,855210,AWAY,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,40,855209,HOME,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,40,855209,AWAY,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,41,855212,HOME,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,41,855212,AWAY,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,42,855214,HOME,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,42,855214,AWAY,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,43,855215,HOME,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,43,855215,AWAY,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,44,855216,HOME,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,44,855216,AWAY,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,45,855217,HOME,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,45,855217,AWAY,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,46,855221,HOME,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,46,855221,AWAY,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,47,855213,HOME,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,47,855213,AWAY,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,48,855218,HOME,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,48,855218,AWAY,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,49,855219,HOME,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,49,855219,AWAY,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,50,855220,HOME,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,50,855220,AWAY,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,51,855223,HOME,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,51,855223,AWAY,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,52,855222,HOME,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,52,855222,AWAY,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,53,855225,HOME,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,53,855225,AWAY,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,54,855226,HOME,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,54,855226,AWAY,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,55,855227,HOME,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
