grain,season,source_player_id,player_attachment_status,frl_player_identity_status,player_season_source_name
player_season,2020-21,165153,UNRESOLVED,,Timo Werner
player_season,2020-21,44346,UNRESOLVED,,Olivier Giroud
player_season,2020-21,209046,UNRESOLVED,,Callum Hudson-Odoi
player_season,2020-21,111234,UNRESOLVED,,Jordan Pickford
player_season,2020-21,222627,UNRESOLVED,,João Virgínia
player_season,2020-21,111782,UNRESOLVED,,Robin Olsen
player_season,2020-21,447325,UNRESOLVED,,Harry Tyrer
player_season,2020-21,194164,UNRESOLVED,,Mason Holgate
player_season,2020-21,106611,UNRESOLVED,,Michael Keane
player_season,2020-21,101188,UNRESOLVED,,Lucas Digne
player_season,2020-21,164511,UNRESOLVED,,Yerry Mina
player_season,2020-21,495542,UNRESOLVED,,Niels Nkounkou
player_season,2020-21,198826,UNRESOLVED,,Ben Godfrey
player_season,2020-21,59949,UNRESOLVED,,Séamus Coleman
player_season,2020-21,422612,UNRESOLVED,,Ryan Astley
player_season,2020-21,232829,UNRESOLVED,,Kyle John
player_season,2020-21,474907,UNRESOLVED,,Reece Welch
player_season,2020-21,119765,UNRESOLVED,,Allan
player_season,2020-21,41823,UNRESOLVED,,Fabian Delph
player_season,2020-21,55422,UNRESOLVED,,Gylfi Sigurdsson
player_season,2020-21,121599,UNRESOLVED,,Abdoulaye Doucouré
player_season,2020-21,60025,UNRESOLVED,,James Rodríguez
player_season,2020-21,120250,UNRESOLVED,,André Gomes
player_season,2020-21,160987,UNRESOLVED,,Jean-Philippe Gbamin
player_season,2020-21,173807,UNRESOLVED,,Tom Davies
player_season,2020-21,173818,UNRESOLVED,,Nathan Broadhead
player_season,2020-21,491559,UNRESOLVED,,Isaac Price
player_season,2020-21,461446,UNRESOLVED,,Tyler Onyango
player_season,2020-21,212319,UNRESOLVED,,Richarlison
player_season,2020-21,177815,UNRESOLVED,,Dominic Calvert-Lewin
player_season,2020-21,78007,UNRESOLVED,,Joshua King
player_season,2020-21,153133,UNRESOLVED,,Alex Iwobi
player_season,2020-21,100649,UNRESOLVED,,Bernard
player_season,2020-21,84182,UNRESOLVED,,Alphonse Areola
player_season,2020-21,155529,UNRESOLVED,,Marek Rodák
player_season,2020-21,40559,UNRESOLVED,,Fabri
player_season,2020-21,167074,UNRESOLVED,,Kenny Tete
player_season,2020-21,84915,UNRESOLVED,,Michael Hector
player_season,2020-21,72681,UNRESOLVED,,Denis Odoi
player_season,2020-21,174874,UNRESOLVED,,Joachim Andersen
player_season,2020-21,82514,UNRESOLVED,,Tim Ream
player_season,2020-21,109646,UNRESOLVED,,Tosin Adarabioyo
player_season,2020-21,101105,UNRESOLVED,,Joe Bryan
player_season,2020-21,109434,UNRESOLVED,,Terence Kongolo
player_season,2020-21,169528,UNRESOLVED,,Antonee Robinson
player_season,2020-21,159506,UNRESOLVED,,Ola Aina
player_season,2020-21,76357,UNRESOLVED,,Tom Cairney
player_season,2020-21,126187,UNRESOLVED,,Ruben Loftus-Cheek
player_season,2020-21,151086,UNRESOLVED,,Mario Lemina
player_season,2020-21,153366,UNRESOLVED,,Harrison Reed
player_season,2020-21,168765,UNRESOLVED,,Josh Onomah
player_season,2020-21,203325,UNRESOLVED,,Frank Anguissa
player_season,2020-21,432931,UNRESOLVED,,Tyrese Francois
player_season,2020-21,244858,UNRESOLVED,,Fábio Carvalho
player_season,2020-21,128389,UNRESOLVED,,Aleksandar Mitrovic
player_season,2020-21,96994,UNRESOLVED,,Bobby De Cordova-Reid
player_season,2020-21,166324,UNRESOLVED,,Ivan Cavaleiro
player_season,2020-21,219352,UNRESOLVED,,Ademola Lookman
player_season,2020-21,195480,UNRESOLVED,,Josh Maja
player_season,2020-21,223335,UNRESOLVED,,Sylvester Jasper
player_season,2020-21,437495,UNRESOLVED,,Illan Meslier
player_season,2020-21,39790,UNRESOLVED,,Kiko Casilla
player_season,2020-21,463912,UNRESOLVED,,Elia Caprile
player_season,2020-21,66588,UNRESOLVED,,Luke Ayling
player_season,2020-21,193645,UNRESOLVED,,Robin Koch
player_season,2020-21,55914,UNRESOLVED,,Liam Cooper
player_season,2020-21,149915,UNRESOLVED,,Diego Llorente
player_season,2020-21,222694,UNRESOLVED,,Pascal Struijk
player_season,2020-21,455084,UNRESOLVED,,Leif Davis
player_season,2020-21,38588,UNRESOLVED,,Gaetano Berardi
player_season,2020-21,492373,UNRESOLVED,,Charlie Cresswell
player_season,2020-21,433590,UNRESOLVED,,Cody Drameh
player_season,2020-21,467114,UNRESOLVED,,Oliver Casey
player_season,2020-21,105377,UNRESOLVED,,Ezgjan Alioski
player_season,2020-21,87873,UNRESOLVED,,Stuart Dallas
player_season,2020-21,28690,UNRESOLVED,,Pablo Hernández
player_season,2020-21,221399,UNRESOLVED,,Jack Harrison
player_season,2020-21,155405,UNRESOLVED,,Kalvin Phillips
player_season,2020-21,450070,UNRESOLVED,,Crysencio Summerville
player_season,2020-21,72222,UNRESOLVED,,Mateusz Klich
player_season,2020-21,221610,UNRESOLVED,,Jamie Shackleton
player_season,2020-21,492374,UNRESOLVED,,Jack Jenkins
player_season,2020-21,215460,UNRESOLVED,,Ian Poveda
player_season,2020-21,106617,UNRESOLVED,,Patrick Bamford
player_season,2020-21,173821,UNRESOLVED,,Tyler Roberts
player_season,2020-21,165808,UNRESOLVED,,Hélder Costa
