season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,goal_count_match,source_event_id,source_event_type,source_event_seconds,source_event_time_label,source_event_text,source_scorer_name,source_scorer_team,source_scorer_id,source_assist_ids,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,source_url,retrieved_at_utc
2016-17,10,855175,14043,3,3,true,105173,goal,4566,77,"Goal!  Chelsea 1, West Ham United 1. James Collins (West Ham United) left footed shot from the centre of the box to the bottom right corner    following a corner.",James Collins,West Ham United,3010,,,,2,1,https://footballapi.pulselive.com/football/fixtures/14043/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:43.617459Z
2016-17,10,855175,14043,3,3,true,105138,penalty goal,2794,47,"Goal!  Chelsea 1, West Ham United 0. Eden Hazard (Chelsea) converts the penalty with a right footed shot to the high centre of the goal.",Eden Hazard,Chelsea,4503,,,,2,1,https://footballapi.pulselive.com/football/fixtures/14043/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:43.617459Z
2016-17,11,855184,14052,2,2,true,105263,penalty goal,3078,52,"Goal!  Manchester United 2, Southampton 0. Zlatan Ibrahimovic (Manchester United) converts the penalty with a right footed shot to the bottom left corner.",Zlatan Ibrahimovic,Manchester United,5772,,,,2,0,https://footballapi.pulselive.com/football/fixtures/14052/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:44.400195Z
2016-17,11,855184,14052,2,2,true,105245,goal,2137,36,"Goal!  Manchester United 1, Southampton 0. Zlatan Ibrahimovic (Manchester United) header from the centre of the box to the bottom right corner. Assisted by Wayne Rooney with a cross.",Zlatan Ibrahimovic,Manchester United,5772,2064,,,2,0,https://footballapi.pulselive.com/football/fixtures/14052/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:44.400195Z
2016-17,12,855444,14312,2,2,true,105597,goal,2197,37,"Goal!  Burnley 2, Liverpool 0. Andre Gray (Burnley) left footed shot from outside the box to the bottom left corner. Assisted by Steven Defour.",Andre Gray,Burnley,9060,5345,,,2,0,https://footballapi.pulselive.com/football/fixtures/14312/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:45.256764Z
2016-17,12,855444,14312,2,2,true,105421,goal,97,02,"Goal!  Burnley 1, Liverpool 0. Sam Vokes (Burnley) right footed shot from outside the box to the top left corner. Assisted by Andre Gray.",Sam Vokes,Burnley,4007,9060,,,2,0,https://footballapi.pulselive.com/football/fixtures/14312/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:45.256764Z
2016-17,14,855185,14053,5,5,true,105412,goal,5680,90+5,"Goal!  Stoke City 1, Manchester City 4. Nolito (Manchester City) right footed shot from the centre of the box to the centre of the goal. Assisted by Raheem Sterling.",Nolito,Manchester City,19604,4316,,,1,4,https://footballapi.pulselive.com/football/fixtures/14053/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.084541Z
2016-17,14,855185,14053,5,5,true,105403,goal,5126,86,"Goal!  Stoke City 1, Manchester City 3. Nolito (Manchester City) right footed shot from the left side of the six yard box to the bottom right corner. Assisted by Kelechi Iheanacho.",Nolito,Manchester City,19604,13554,,,1,4,https://footballapi.pulselive.com/football/fixtures/14053/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.084541Z
2016-17,14,855185,14053,5,5,true,105365,penalty goal,2924,49,"Goal!  Stoke City 1, Manchester City 2. Bojan (Stoke City) converts the penalty with a right footed shot to the top right corner.",Bojan,Stoke City,4898,,,,1,4,https://footballapi.pulselive.com/football/fixtures/14053/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.084541Z
2016-17,14,855185,14053,5,5,true,105344,goal,2110,36,"Goal!  Stoke City 0, Manchester City 2. Sergio Agüero (Manchester City) header from the centre of the box to the bottom left corner. Assisted by Kevin De Bruyne with a cross   following a set piece situation.",Sergio Agüero,Manchester City,4328,4288,,,1,4,https://footballapi.pulselive.com/football/fixtures/14053/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.084541Z
2016-17,14,855185,14053,5,5,true,105334,penalty goal,1582,27,"Goal!  Stoke City 0, Manchester City 1. Sergio Agüero (Manchester City) converts the penalty with a right footed shot to the top left corner.",Sergio Agüero,Manchester City,4328,,,,1,4,https://footballapi.pulselive.com/football/fixtures/14053/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.084541Z
2016-17,15,855187,14055,2,2,true,105931,goal,5464,90+2,"Goal!  Swansea City 0, Hull City 2. Abel Hernández (Hull City) left footed shot from the centre of the box to the bottom left corner. Assisted by Shaun Maloney.",Abel Hernández,Hull City,10460,3066,,,0,2,https://footballapi.pulselive.com/football/fixtures/14055/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.917581Z
2016-17,15,855187,14055,2,2,true,105853,goal,4704,79,"Goal!  Swansea City 0, Hull City 1. Shaun Maloney (Hull City) left footed shot from very close range to the bottom left corner. Assisted by Curtis Davies   following a corner.",Shaun Maloney,Hull City,3066,2997,,,0,2,https://footballapi.pulselive.com/football/fixtures/14055/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:46.917581Z
2016-17,16,855188,14056,1,1,true,105879,goal,4920,83,"Goal!  Tottenham Hotspur 1, Crystal Palace 0. Victor Wanyama (Tottenham Hotspur) header from very close range to the high centre of the goal. Assisted by Harry Kane   following a corner.",Victor Wanyama,Tottenham Hotspur,4816,3960,,,1,0,https://footballapi.pulselive.com/football/fixtures/14056/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:47.755567Z
