grain,season,fixture_id,source_player_id,team_season_id,persistent_team_code,original_status,crossseason_fpl_candidates,crossseason_status
player_match,2016-17,5,359642,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,763,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,946,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,1018,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,17053,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,18115,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,32002,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,51444,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,51640,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,74577,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,89510,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,106661,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,138530,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,240256,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,328145,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,592876,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,791439,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,812158,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,825901,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,816,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,9645,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,10369,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,11684,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,19777,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,19979,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,27838,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,30744,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,32020,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,32048,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,33102,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,37254,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,45911,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,94287,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,100389,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,103117,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,115432,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,135590,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,766,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,768,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,917,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,9360,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,10535,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,17063,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,19524,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,20602,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,21927,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
