source_surface,resource,grain,field_name,sampled_seasons,sampled_paths,semantic_status
PL_PULSELIVE_HISTORICAL,player_season,player_season,savesMadeFromInsideBox,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,savesMadeFromOutsideBox,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,savesMadeParried,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,season,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,secondGoalAssists,2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,setPiecesGoals,2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsBlockedInBox,2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsBlockedOutsideBox,2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsOffTargetIncWoodwork,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsOnTargetInBox,2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsOnTargetIncGoals,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,shotsOnTargetOutsideBox,2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,starts,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
