season,source_player_id,forward_passes
2016-17,243531,8.0
2016-17,243532,2.0
2017-18,1243,
2017-18,1632,340.0
2017-18,2404,45.0
2017-18,2513,10.0
2017-18,3201,
2017-18,3773,205.0
2017-18,5589,14.0
2017-18,6744,66.0
2017-18,7645,381.0
2017-18,7906,27.0
2017-18,7958,24.0
2017-18,8380,200.0
2017-18,9047,103.0
2017-18,9089,999.0
2017-18,10318,
2017-18,11334,537.0
2017-18,11352,428.0
2017-18,11554,263.0
2017-18,11735,
2017-18,11829,47.0
2017-18,11974,40.0
2017-18,12086,17.0
2017-18,12745,288.0
2017-18,12813,3.0
2017-18,13017,281.0
2017-18,13152,172.0
2017-18,14075,51.0
2017-18,14295,357.0
2017-18,14664,121.0
2017-18,15033,390.0
2017-18,15114,23.0
2017-18,15137,38.0
2017-18,15149,778.0
2017-18,15157,492.0
2017-18,15237,386.0
2017-18,15749,485.0
2017-18,15982,
2017-18,17127,71.0
2017-18,17339,288.0
2017-18,17349,152.0
2017-18,17476,443.0
2017-18,17745,825.0
2017-18,17761,548.0
2017-18,17878,838.0
2017-18,17997,216.0
2017-18,18008,19.0
2017-18,18073,441.0
2017-18,18656,515.0
2017-18,18726,
2017-18,18892,533.0
2017-18,19071,1.0
2017-18,19151,373.0
2017-18,19159,274.0
2017-18,19188,240.0
2017-18,19197,68.0
2017-18,19272,79.0
2017-18,19419,470.0
2017-18,19568,14.0
2017-18,19760,15.0
2017-18,19838,423.0
2017-18,20037,142.0
2017-18,20046,34.0
2017-18,20066,622.0
2017-18,20145,448.0
2017-18,20208,111.0
2017-18,20310,63.0
2017-18,20452,80.0
2017-18,20467,92.0
2017-18,20480,
2017-18,20481,18.0
2017-18,20529,238.0
2017-18,20658,529.0
2017-18,20664,654.0
2017-18,20695,486.0
2017-18,21083,105.0
2017-18,21205,85.0
2017-18,27341,514.0
2017-18,27462,19.0
2017-18,27789,872.0
2017-18,28147,234.0
2017-18,28462,4.0
2017-18,28609,
2017-18,28654,494.0
2017-18,33148,29.0
2017-18,33871,361.0
2017-18,37096,891.0
2017-18,37265,440.0
2017-18,37402,410.0
2017-18,37572,113.0
2017-18,37605,519.0
2017-18,37642,417.0
2017-18,37742,37.0
2017-18,37869,380.0
2017-18,37915,554.0
2017-18,38038,58.0
2017-18,38290,162.0
2017-18,38411,638.0
2017-18,38439,264.0
2017-18,38454,627.0
2017-18,38490,75.0
2017-18,38499,62.0
2017-18,39104,435.0
2017-18,39155,67.0
2017-18,39158,115.0
2017-18,39194,978.0
2017-18,39215,10.0
2017-18,39487,429.0
2017-18,39725,
2017-18,39847,350.0
2017-18,40002,67.0
2017-18,40142,76.0
2017-18,40145,520.0
2017-18,40146,594.0
2017-18,40346,
2017-18,40349,725.0
2017-18,40383,389.0
2017-18,40387,438.0
2017-18,40399,106.0
2017-18,40555,438.0
2017-18,40616,436.0
2017-18,40669,413.0
2017-18,40725,389.0
2017-18,40755,42.0
2017-18,40784,334.0
