"source_surface","resource","grain","field_name","canonical_attachment","relationship_kind","identity_contract","source_identity_required","relationship_note","player_route","player_contract","fixture_route","fixture_contract","team_route","team_contract","route_status","attachment_verified"
"FRL_LOCAL_CSV","player_match","player_match","punches","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","rating","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","savedShotsFromInsideTheBox","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","saves","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","season","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","shotOffTarget","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","slug","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","substitute","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","substitute.1","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","team","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
