field_name,resource,original_grain,field_type,current_raw_found,current_resolution_status,current_resolved_grain,current_evidence_paths,historical_found,historical_grains,historical_season_files,source_layer_state
events[].most_vice_captained,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].most_vice_captained,NO,,,CURRENT_RAW_ONLY
events[].name,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].name,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv,BOTH
events[].overrides,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].overrides,NO,,,CURRENT_RAW_ONLY
events[].overrides.pick_multiplier,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].overrides.pick_multiplier,NO,,,CURRENT_RAW_ONLY
events[].overrides.rules,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].overrides.rules,NO,,,CURRENT_RAW_ONLY
events[].overrides.scoring,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].overrides.scoring,NO,,,CURRENT_RAW_ONLY
events[].ranked_count,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].ranked_count,NO,,,CURRENT_RAW_ONLY
events[].release_time,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].release_time,NO,,,CURRENT_RAW_ONLY
events[].released,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].released,NO,,,CURRENT_RAW_ONLY
events[].transfers_made,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:events[].transfers_made,NO,,,CURRENT_RAW_ONLY
game_config,bootstrap-static.json,,object,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.rules,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides.rules | bootstrap-static:events[].overrides.rules,NO,,,CURRENT_RAW_ONLY
game_config.rules.cup_qualifying_method,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.cup_qualifying_method,NO,,,CURRENT_RAW_ONLY
game_config.rules.cup_start_event_id,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.cup_start_event_id,NO,,,CURRENT_RAW_ONLY
game_config.rules.cup_stop_event_id,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.cup_stop_event_id,NO,,,CURRENT_RAW_ONLY
game_config.rules.cup_type,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.cup_type,NO,,,CURRENT_RAW_ONLY
game_config.rules.featured_entries,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.featured_entries,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_h2h_tiebreak_stats,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_h2h_tiebreak_stats | bootstrap-static:game_settings.league_h2h_tiebreak_stats[],NO,,,CURRENT_RAW_ONLY
game_config.rules.league_join_private_max,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_join_private_max,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_join_public_max,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_join_public_max,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_ko_first_instead_of_random,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_ko_first_instead_of_random,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_max_ko_rounds_private_h2h,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_max_ko_rounds_private_h2h,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_max_size_private_h2h,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_max_size_private_h2h,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_max_size_public_classic,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_max_size_public_classic,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_max_size_public_h2h,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_max_size_public_h2h,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_points_h2h_draw,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_points_h2h_draw,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_points_h2h_lose,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_points_h2h_lose,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_points_h2h_win,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_points_h2h_win,NO,,,CURRENT_RAW_ONLY
game_config.rules.league_prefix_public,bootstrap-static.json,,str,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.league_prefix_public,NO,,,CURRENT_RAW_ONLY
game_config.rules.max_extra_free_transfers,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.max_extra_free_transfers,NO,,,CURRENT_RAW_ONLY
game_config.rules.percentile_ranks,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.percentile_ranks | bootstrap-static:game_settings.percentile_ranks[],NO,,,CURRENT_RAW_ONLY
game_config.rules.squad_special_max,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.squad_special_max,NO,,,CURRENT_RAW_ONLY
game_config.rules.squad_special_min,bootstrap-static.json,,NoneType,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.squad_special_min,NO,,,CURRENT_RAW_ONLY
game_config.rules.squad_squadplay,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.squad_squadplay,NO,,,CURRENT_RAW_ONLY
game_config.rules.squad_squadsize,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.squad_squadsize,NO,,,CURRENT_RAW_ONLY
game_config.rules.squad_total_spend,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.squad_total_spend,NO,,,CURRENT_RAW_ONLY
game_config.rules.stats_form_days,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.stats_form_days,NO,,,CURRENT_RAW_ONLY
game_config.rules.sys_vice_captain_enabled,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.sys_vice_captain_enabled,NO,,,CURRENT_RAW_ONLY
game_config.rules.transfers_cap,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.transfers_cap,NO,,,CURRENT_RAW_ONLY
game_config.rules.transfers_sell_on_fee,bootstrap-static.json,,float,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.transfers_sell_on_fee,NO,,,CURRENT_RAW_ONLY
game_config.rules.ui_currency_multiplier,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.ui_currency_multiplier,NO,,,CURRENT_RAW_ONLY
game_config.rules.ui_special_shirt_exclusions,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.ui_special_shirt_exclusions,NO,,,CURRENT_RAW_ONLY
game_config.rules.ui_use_special_shirts,bootstrap-static.json,,bool,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.ui_use_special_shirts,NO,,,CURRENT_RAW_ONLY
game_config.rules.underdog_differential,bootstrap-static.json,,int,YES,STRUCTURALLY_RESOLVED,game_settings,bootstrap-static:game_settings.underdog_differential,NO,,,CURRENT_RAW_ONLY
game_config.scoring,bootstrap-static.json,,object,YES,STRUCTURALLY_RESOLVED,gameweek,bootstrap-static:chips[].overrides.scoring | bootstrap-static:events[].overrides.scoring,NO,,,CURRENT_RAW_ONLY
game_config.scoring.assists,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].assists | element-summary:history[].assists | element-summary:history_past[].assists | event-live:elements[].stats.assists,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.bonus,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].bonus | element-summary:history[].bonus | element-summary:history_past[].bonus | event-live:elements[].stats.bonus,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.bps,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].bps | element-summary:history[].bps | element-summary:history_past[].bps | event-live:elements[].stats.bps,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.clean_sheets,bootstrap-static.json,,object,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].clean_sheets | element-summary:history[].clean_sheets | element-summary:history_past[].clean_sheets | event-live:elements[].stats.clean_sheets,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.clean_sheets.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.clean_sheets.FWD,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.clean_sheets.GKP,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.clean_sheets.MID,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.clearances_blocks_interceptions,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].clearances_blocks_interceptions | element-summary:history[].clearances_blocks_interceptions | element-summary:history_past[].clearances_blocks_interceptions | event-live:elements[].stats.clearances_blocks_interceptions,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.creativity,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].creativity | element-summary:history[].creativity | element-summary:history_past[].creativity | event-live:elements[].stats.creativity,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.defensive_contribution,bootstrap-static.json,,object,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].defensive_contribution | element-summary:history[].defensive_contribution | element-summary:history_past[].defensive_contribution | event-live:elements[].stats.defensive_contribution,YES,player,2025-26_all_players_gw.csv,BOTH
game_config.scoring.defensive_contribution.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.defensive_contribution.FWD,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.defensive_contribution.GKP,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.defensive_contribution.MID,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.expected_assists,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].expected_assists | element-summary:history[].expected_assists | element-summary:history_past[].expected_assists | event-live:elements[].stats.expected_assists,YES,player,2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.expected_goal_involvements,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].expected_goal_involvements | element-summary:history[].expected_goal_involvements | element-summary:history_past[].expected_goal_involvements | event-live:elements[].stats.expected_goal_involvements,YES,player,2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.expected_goals,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].expected_goals | element-summary:history[].expected_goals | element-summary:history_past[].expected_goals | event-live:elements[].stats.expected_goals,YES,player,2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.expected_goals_conceded,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].expected_goals_conceded | element-summary:history[].expected_goals_conceded | element-summary:history_past[].expected_goals_conceded | event-live:elements[].stats.expected_goals_conceded,YES,player,2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.goals_conceded,bootstrap-static.json,,object,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].goals_conceded | element-summary:history[].goals_conceded | element-summary:history_past[].goals_conceded | event-live:elements[].stats.goals_conceded,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.goals_conceded.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_conceded.FWD,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_conceded.GKP,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_conceded.MID,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_scored,bootstrap-static.json,,object,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].goals_scored | element-summary:history[].goals_scored | element-summary:history_past[].goals_scored | event-live:elements[].stats.goals_scored,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.goals_scored.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_scored.FWD,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_scored.GKP,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.goals_scored.MID,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.ict_index,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].ict_index | element-summary:history[].ict_index | element-summary:history_past[].ict_index | event-live:elements[].stats.ict_index,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.influence,bootstrap-static.json,,int,YES,AMBIGUOUS_RAW_FPL_GRAIN,UNMAPPED_REVIEW,bootstrap-static:elements[].influence | element-summary:history[].influence | element-summary:history_past[].influence | event-live:elements[].stats.influence,YES,player,2016-17_all_players_gw.csv;2017-18_all_players_gw.csv;2018-19_all_players_gw.csv;2019-20_all_players_gw.csv;2020-21_all_players_gw.csv;2021-22_all_players_gw.csv;2022-23_all_players_gw.csv;2023-24_all_players_gw.csv;2024-25_all_players_gw.csv;2025-26_all_players_gw.csv,BOTH
game_config.scoring.long_play,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.mng_clean_sheets,bootstrap-static.json,,object,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,YES,player,2024-25_all_players_gw.csv,HISTORICAL_PUBLISHED_ONLY
game_config.scoring.mng_clean_sheets.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.mng_clean_sheets.FWD,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.mng_clean_sheets.GKP,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.mng_clean_sheets.MID,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
game_config.scoring.mng_draw,bootstrap-static.json,,object,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,YES,player,2024-25_all_players_gw.csv,HISTORICAL_PUBLISHED_ONLY
game_config.scoring.mng_draw.DEF,bootstrap-static.json,,int,NO,NOT_FOUND_IN_ALL_CAPTURED_RAW_FPL,UNMAPPED_REVIEW,,NO,,,NEITHER
