source_surface,grain,season,field_name,representative_path,fetch_error
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attemptsObox,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attendance,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,backwardPass,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,ballRecovery,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,bigChanceCreated,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,bigChanceMissed,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,bigChanceScored,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,blockedCross,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,blockedPass,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,blockedScoringAtt,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,challengeLost,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,clearanceOffLine,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,contentiousDecision,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,cornerTaken,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,crosses18yard,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
