field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
saves,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
season,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
shotOffTarget,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
slug,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
substitute,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
substitute.1,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
team,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
team_id,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalBallCarriesDistance,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
totalClearance,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalContest,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalCross,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalLongBalls,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalOffside,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
totalOwnHalfPasses,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
totalPass,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
totalProgression,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
totalProgressiveBallCarriesDistance,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
totalShots,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
