grain,field_name,state
player_season,unsuccessfulLayoffs,BOTH
player_season,unsuccessfulLongPasses,BOTH
player_season,unsuccessfulPassesOwnHalf,BOTH
player_season,unsuccessfulShortPasses,BOTH
player_season,winningGoal,BOTH
player_season,yellowCards,BOTH
sample_payload,captured_at,FRL_ONLY
sample_payload,chips,FRL_ONLY
sample_payload,chips[].chip_type,FRL_ONLY
sample_payload,chips[].id,FRL_ONLY
sample_payload,chips[].name,FRL_ONLY
sample_payload,chips[].number,FRL_ONLY
sample_payload,chips[].overrides,FRL_ONLY
sample_payload,chips[].overrides.element_types,FRL_ONLY
sample_payload,chips[].overrides.pick_multiplier,FRL_ONLY
sample_payload,chips[].overrides.rules,FRL_ONLY
sample_payload,chips[].overrides.scoring,FRL_ONLY
sample_payload,chips[].start_event,FRL_ONLY
sample_payload,chips[].stop_event,FRL_ONLY
sample_payload,element_stats,FRL_ONLY
sample_payload,element_stats[].label,FRL_ONLY
sample_payload,element_stats[].name,FRL_ONLY
sample_payload,element_types,FRL_ONLY
sample_payload,element_types[].element_count,FRL_ONLY
sample_payload,element_types[].id,FRL_ONLY
sample_payload,element_types[].plural_name,FRL_ONLY
sample_payload,element_types[].plural_name_short,FRL_ONLY
sample_payload,element_types[].singular_name,FRL_ONLY
sample_payload,element_types[].singular_name_short,FRL_ONLY
sample_payload,element_types[].squad_max_play,FRL_ONLY
sample_payload,element_types[].squad_max_select,FRL_ONLY
sample_payload,element_types[].squad_min_play,FRL_ONLY
sample_payload,element_types[].squad_min_select,FRL_ONLY
sample_payload,element_types[].squad_select,FRL_ONLY
sample_payload,element_types[].sub_positions_locked,FRL_ONLY
sample_payload,element_types[].ui_shirt_specific,FRL_ONLY
sample_payload,elements,FRL_ONLY
sample_payload,elements[].assists,FRL_ONLY
sample_payload,elements[].birth_date,FRL_ONLY
sample_payload,elements[].bonus,FRL_ONLY
sample_payload,elements[].bps,FRL_ONLY
sample_payload,elements[].can_select,FRL_ONLY
sample_payload,elements[].can_transact,FRL_ONLY
sample_payload,elements[].chance_of_playing_next_round,FRL_ONLY
sample_payload,elements[].chance_of_playing_this_round,FRL_ONLY
sample_payload,elements[].clean_sheets,FRL_ONLY
sample_payload,elements[].clean_sheets_per_90,FRL_ONLY
sample_payload,elements[].clearances_blocks_interceptions,FRL_ONLY
sample_payload,elements[].code,FRL_ONLY
sample_payload,elements[].corners_and_indirect_freekicks_order,FRL_ONLY
sample_payload,elements[].corners_and_indirect_freekicks_text,FRL_ONLY
sample_payload,elements[].cost_change_event,FRL_ONLY
sample_payload,elements[].cost_change_event_fall,FRL_ONLY
sample_payload,elements[].cost_change_start,FRL_ONLY
sample_payload,elements[].cost_change_start_fall,FRL_ONLY
sample_payload,elements[].creativity,FRL_ONLY
sample_payload,elements[].creativity_rank,FRL_ONLY
sample_payload,elements[].creativity_rank_type,FRL_ONLY
sample_payload,elements[].defensive_contribution,FRL_ONLY
sample_payload,elements[].defensive_contribution_per_90,FRL_ONLY
sample_payload,elements[].direct_freekicks_order,FRL_ONLY
sample_payload,elements[].direct_freekicks_text,FRL_ONLY
sample_payload,elements[].dreamteam_count,FRL_ONLY
sample_payload,elements[].element_type,FRL_ONLY
sample_payload,elements[].ep_next,FRL_ONLY
sample_payload,elements[].ep_this,FRL_ONLY
sample_payload,elements[].event_points,FRL_ONLY
sample_payload,elements[].expected_assists,FRL_ONLY
sample_payload,elements[].expected_assists_per_90,FRL_ONLY
sample_payload,elements[].expected_goal_involvements,FRL_ONLY
sample_payload,elements[].expected_goal_involvements_per_90,FRL_ONLY
sample_payload,elements[].expected_goals,FRL_ONLY
sample_payload,elements[].expected_goals_conceded,FRL_ONLY
sample_payload,elements[].expected_goals_conceded_per_90,FRL_ONLY
sample_payload,elements[].expected_goals_per_90,FRL_ONLY
sample_payload,elements[].explain,FRL_ONLY
sample_payload,elements[].explain[].fixture,FRL_ONLY
sample_payload,elements[].explain[].stats,FRL_ONLY
sample_payload,elements[].explain[].stats[].identifier,FRL_ONLY
sample_payload,elements[].explain[].stats[].points,FRL_ONLY
sample_payload,elements[].explain[].stats[].points_modification,FRL_ONLY
sample_payload,elements[].explain[].stats[].value,FRL_ONLY
sample_payload,elements[].first_name,FRL_ONLY
sample_payload,elements[].form,FRL_ONLY
sample_payload,elements[].form_rank,FRL_ONLY
sample_payload,elements[].form_rank_type,FRL_ONLY
sample_payload,elements[].goals_conceded,FRL_ONLY
sample_payload,elements[].goals_conceded_per_90,FRL_ONLY
sample_payload,elements[].goals_scored,FRL_ONLY
sample_payload,elements[].has_temporary_code,FRL_ONLY
sample_payload,elements[].ict_index,FRL_ONLY
sample_payload,elements[].ict_index_rank,FRL_ONLY
sample_payload,elements[].ict_index_rank_type,FRL_ONLY
sample_payload,elements[].id,FRL_ONLY
sample_payload,elements[].in_dreamteam,FRL_ONLY
sample_payload,elements[].influence,FRL_ONLY
sample_payload,elements[].influence_rank,FRL_ONLY
sample_payload,elements[].influence_rank_type,FRL_ONLY
sample_payload,elements[].known_name,FRL_ONLY
sample_payload,elements[].minutes,FRL_ONLY
sample_payload,elements[].modified,FRL_ONLY
sample_payload,elements[].news,FRL_ONLY
sample_payload,elements[].news_added,FRL_ONLY
sample_payload,elements[].now_cost,FRL_ONLY
sample_payload,elements[].now_cost_rank,FRL_ONLY
sample_payload,elements[].now_cost_rank_type,FRL_ONLY
sample_payload,elements[].opta_code,FRL_ONLY
sample_payload,elements[].own_goals,FRL_ONLY
sample_payload,elements[].penalties_missed,FRL_ONLY
sample_payload,elements[].penalties_order,FRL_ONLY
sample_payload,elements[].penalties_saved,FRL_ONLY
sample_payload,elements[].penalties_text,FRL_ONLY
sample_payload,elements[].photo,FRL_ONLY
sample_payload,elements[].points_per_game,FRL_ONLY
sample_payload,elements[].points_per_game_rank,FRL_ONLY
sample_payload,elements[].points_per_game_rank_type,FRL_ONLY
sample_payload,elements[].price_change_calibrating,FRL_ONLY
sample_payload,elements[].price_change_hourly_rate,FRL_ONLY
sample_payload,elements[].price_change_locked_until,FRL_ONLY
sample_payload,elements[].price_change_percent,FRL_ONLY
sample_payload,elements[].price_change_projections,FRL_ONLY
