season,player_code,source_player_id,shots,shots_on_target,shots_off_target,blocked_shots,xgot,touches,hit_woodwork,passes,accurate_passes,accurate_opposition_half_passes,long_balls,accurate_long_balls,successful_crosses,key_passes_rich,big_chances_created_rich,successful_dribbles,unsuccessful_dribbles,ball_carries,progressive_carries,progressive_carry_distance,total_progression,possession_lost,tackles_rich,tackles_won,interceptions_won,clearances,aerial_duels_won,aerial_duels_lost,duels_won,duels_lost,contests_won,blocks,recoveries_rich,errors_leading_to_shot,errors_leading_to_goal,fouls_conceded,fouls_won,penalties_won,penalties_conceded,saves_rich,saves_inside_box,high_claims,keeper_sweeper_actions,accurate_keeper_sweeper_actions,penalties_faced
2016-17,11829,636,19.0,9.0,7.0,3.0,,946.0,,560.0,362.0,266.0,58.0,22.0,23.0,25.0,3.0,,,,,,,390.0,22.0,15.0,14.0,19.0,12.0,44.0,72.0,156.0,25.0,,100.0,,1.0,28.0,14.0,,,,,,,,
2016-17,11974,4387,0.0,,,,,855.0,,636.0,295.0,116.0,492.0,153.0,,,,,,,,,,346.0,,,1.0,20.0,6.0,,7.0,2.0,1.0,,198.0,4.0,,,2.0,,,74.0,43.0,16.0,10.0,9.0,6.0
2016-17,12002,816,29.0,6.0,14.0,9.0,,1381.0,,943.0,767.0,433.0,154.0,79.0,43.0,30.0,2.0,,,,,,,355.0,28.0,20.0,31.0,32.0,9.0,18.0,56.0,59.0,7.0,,122.0,,,10.0,14.0,,,,,,,,
2016-17,120447,149814,2.0,1.0,,1.0,,193.0,,114.0,89.0,53.0,10.0,3.0,,2.0,,,,,,,,47.0,5.0,2.0,3.0,9.0,,2.0,9.0,15.0,1.0,1.0,14.0,,,2.0,3.0,,,,,,,,
2016-17,12086,10024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,121221,252313,12.0,2.0,8.0,2.0,,1065.0,,794.0,631.0,194.0,183.0,89.0,,4.0,2.0,,,,,,,184.0,26.0,16.0,31.0,111.0,46.0,27.0,93.0,65.0,7.0,8.0,108.0,1.0,,10.0,14.0,,,,,,,,
2016-17,12150,10535,6.0,1.0,3.0,2.0,,1698.0,,1409.0,1191.0,623.0,196.0,111.0,9.0,22.0,1.0,,,,,,,274.0,45.0,26.0,37.0,46.0,27.0,18.0,99.0,94.0,9.0,20.0,171.0,,,18.0,21.0,,,,,,,,
2016-17,121599,96535,22.0,8.0,7.0,7.0,,1005.0,,833.0,725.0,319.0,44.0,24.0,1.0,12.0,,,,,,,,147.0,17.0,13.0,21.0,22.0,14.0,21.0,50.0,72.0,14.0,4.0,142.0,,,12.0,5.0,,,,,,,,
2016-17,122798,262911,7.0,1.0,3.0,3.0,,1953.0,1.0,1231.0,936.0,490.0,219.0,79.0,21.0,19.0,1.0,,,,,,,498.0,54.0,35.0,55.0,75.0,9.0,13.0,99.0,90.0,26.0,15.0,183.0,1.0,,18.0,10.0,,2.0,,,,,,
2016-17,123125,94287,12.0,2.0,3.0,7.0,,243.0,1.0,146.0,117.0,85.0,11.0,6.0,4.0,7.0,3.0,,,,,,,70.0,3.0,3.0,,1.0,3.0,4.0,23.0,28.0,10.0,,27.0,,,1.0,7.0,,,,,,,,
2016-17,12413,1203,26.0,9.0,7.0,10.0,,1129.0,1.0,701.0,500.0,127.0,128.0,33.0,,6.0,3.0,,,,,,,216.0,28.0,22.0,43.0,222.0,94.0,82.0,135.0,126.0,,37.0,139.0,1.0,,45.0,18.0,,1.0,,,,,,
2016-17,12496,11684,0.0,,,,,1126.0,,888.0,472.0,223.0,711.0,295.0,,,,,,,,,,421.0,1.0,1.0,3.0,29.0,6.0,,9.0,1.0,,,239.0,1.0,2.0,,4.0,,,80.0,50.0,26.0,22.0,20.0,3.0
2016-17,126184,149663,7.0,4.0,1.0,2.0,,564.0,,405.0,359.0,117.0,36.0,14.0,1.0,4.0,2.0,,,,,,,57.0,22.0,17.0,11.0,76.0,21.0,18.0,48.0,28.0,3.0,8.0,50.0,,,4.0,2.0,,,,,,,,
2016-17,126187,284441,1.0,1.0,,,,38.0,,25.0,21.0,12.0,,,,,,,,,,,,10.0,1.0,,,1.0,1.0,,3.0,5.0,1.0,,7.0,,,2.0,,,,,,,,,
2016-17,12679,927,12.0,8.0,3.0,1.0,,927.0,,657.0,534.0,138.0,117.0,51.0,,4.0,,,,,,,,134.0,15.0,11.0,30.0,131.0,48.0,33.0,70.0,50.0,3.0,32.0,74.0,1.0,,13.0,6.0,,1.0,,,,,,
2016-17,12744,10369,0.0,,,,,24.0,,14.0,12.0,11.0,1.0,1.0,,,,,,,,,,8.0,1.0,1.0,,,1.0,3.0,3.0,8.0,1.0,,4.0,,,2.0,,,,,,,,,
2016-17,12745,9766,15.0,5.0,7.0,3.0,,2031.0,1.0,1308.0,1066.0,645.0,184.0,76.0,33.0,46.0,1.0,,,,,,,403.0,63.0,43.0,45.0,65.0,27.0,34.0,129.0,117.0,12.0,6.0,161.0,,,35.0,29.0,,,,,,,,
2016-17,12813,19524,25.0,12.0,9.0,4.0,,565.0,1.0,331.0,189.0,137.0,10.0,5.0,6.0,12.0,1.0,,,,,,,233.0,8.0,6.0,4.0,26.0,66.0,67.0,103.0,114.0,8.0,4.0,42.0,,,13.0,23.0,1.0,,,,,,,
2016-17,128198,257205,25.0,7.0,10.0,8.0,,919.0,,509.0,390.0,293.0,31.0,17.0,5.0,24.0,3.0,,,,,,,312.0,38.0,25.0,5.0,3.0,10.0,13.0,144.0,158.0,74.0,1.0,86.0,1.0,,25.0,22.0,,,,,,,,
2016-17,130103,307652,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,13017,751,49.0,18.0,22.0,9.0,,1087.0,1.0,748.0,631.0,451.0,76.0,57.0,24.0,36.0,5.0,,,,,,,271.0,19.0,9.0,15.0,9.0,11.0,34.0,54.0,126.0,13.0,2.0,84.0,,,22.0,11.0,,,,,,,,
2016-17,13152,30530,14.0,7.0,5.0,2.0,,860.0,,644.0,510.0,254.0,73.0,33.0,2.0,6.0,,,,,,,,173.0,38.0,29.0,27.0,32.0,25.0,20.0,84.0,68.0,4.0,12.0,90.0,,,18.0,17.0,,,,,,,,
2016-17,132015,149593,28.0,4.0,15.0,9.0,,1312.0,2.0,1001.0,883.0,509.0,77.0,47.0,8.0,16.0,,,,,,,,199.0,44.0,31.0,33.0,25.0,17.0,12.0,104.0,97.0,15.0,5.0,147.0,1.0,,19.0,30.0,,,,,,,,
