file,resource_hints,rows_or_objects,identity_like_columns,column_count
teams\Coventry_City_9\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Chelsea_8\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Chelsea_8\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Chelsea_8\players\2025-26_all_players_gw.csv,player_season,1335,fixture_code | player_code | team_code,40
teams\Burnley_90\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Burnley_90\players\2025-26_all_players_gw.csv,player_season,1642,fixture_code | player_code | team_code,40
teams\Brighton_36\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Brighton_36\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Brighton_36\players\2025-26_all_players_gw.csv,player_season,1724,fixture_code | player_code | team_code,40
teams\Brentford_94\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Brentford_94\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Brentford_94\players\2025-26_all_players_gw.csv,player_season,1500,fixture_code | player_code | team_code,40
teams\Bournemouth_91\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Bournemouth_91\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Bournemouth_91\players\2025-26_all_players_gw.csv,player_season,1582,fixture_code | player_code | team_code,40
teams\Aston_Villa_7\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Aston_Villa_7\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Aston_Villa_7\players\2025-26_all_players_gw.csv,player_season,1713,fixture_code | player_code | team_code,40
teams\Arsenal_3\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Arsenal_3\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Arsenal_3\players\2025-26_all_players_gw.csv,player_season,1348,fixture_code | player_code | team_code,40
raw_upstream\fpl\fixtures.json,,380,code | id | pulse_id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,17
players\fixtures\2025-26_all_fixtures.csv,,380,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
players\fixtures\2026-27_all_fixtures.csv,,380,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
identity\data_quality\fixture_corrections.csv,,1,away_team_id | fixture_id | home_team_id | season | source | source_reference,13
identity\data_quality\missing_fixture_results.csv,,1,away_team_id | away_team_name | fixture_code | fixture_id | home_team_id | home_team_name | season,11
data\live_pl_api_cache\match_stats.json,,2,side | teamId,3
data\live_pl_api_cache\player_career.json,player_season,31,currentTeam | id,11
data\live_pl_api_cache\team_form.json,team_match,5,awayTeam | competitionId | homeTeam | matchId | matchWeek | seasonId | seasonInfo,17
