season,source_player_id,source_player_name,source_position,source_appearances,source_starts,source_minutes,expected_goals,expected_assists,accurate_opposition_half_passes,forward_passes,recoveries,tackles_won
2016-17,37388,Marcin Wasilewski,Defender,1.0,1.0,90.0,,0.0018,9.0,19.0,6.0,1.0
2016-17,37402,Christian Fuchs,Defender,36.0,35.0,3103.0,1.4393,3.0772,531.0,700.0,205.0,79.0
2016-17,37572,Sergio Agüero,Forward,31.0,25.0,2403.0,20.522,4.4068,476.0,155.0,73.0,14.0
2016-17,37605,Mesut Özil,Midfielder,33.0,32.0,2847.0,5.2837,9.3438,1526.0,590.0,160.0,19.0
2016-17,37642,Jonny Evans,Defender,31.0,30.0,2638.0,1.7096,0.7708,259.0,396.0,201.0,24.0
2016-17,37742,Younes Kaboul,Defender,23.0,23.0,1915.0,1.4253,0.3659,179.0,390.0,138.0,20.0
2016-17,37748,Bacary Sagna,Defender,17.0,14.0,1345.0,0.1088,0.7514,359.0,258.0,60.0,14.0
2016-17,37869,Ryan Shawcross,Defender,35.0,35.0,3150.0,1.7917,0.2426,205.0,525.0,119.0,34.0
2016-17,37915,Hugo Lloris,Goalkeeper,34.0,34.0,3005.0,,0.0227,64.0,598.0,316.0,
2016-17,38038,Ben Hamer,Goalkeeper,,,,,,,,,
2016-17,38290,Danny Rose,Defender,18.0,18.0,1533.0,0.8494,1.51,415.0,349.0,81.0,34.0
2016-17,38411,Nacho Monreal,Defender,36.0,35.0,3153.0,0.7667,2.1327,895.0,716.0,190.0,61.0
2016-17,38419,Loïc Rémy,Forward,5.0,1.0,131.0,0.2925,0.1018,30.0,13.0,3.0,
2016-17,38439,Étienne Capoue,Midfielder,37.0,37.0,3212.0,3.6301,2.0857,727.0,361.0,178.0,42.0
2016-17,38454,Dejan Lovren,Defender,29.0,29.0,2554.0,1.0901,1.7742,623.0,807.0,130.0,31.0
2016-17,38580,José Fonte,Defender,33.0,33.0,2935.0,0.4779,0.7544,463.0,713.0,161.0,33.0
2016-17,39104,Mousa Dembélé,Midfielder,30.0,24.0,2065.0,0.5096,1.6595,923.0,355.0,173.0,55.0
2016-17,39155,Adam Lallana,Midfielder,31.0,27.0,2346.0,3.9762,3.8457,845.0,414.0,155.0,34.0
2016-17,39158,Scott Arfield,Midfielder,31.0,23.0,2104.0,3.1235,2.1459,305.0,247.0,136.0,28.0
2016-17,39167,Andrea Ranocchia,Defender,16.0,15.0,1329.0,0.6578,0.2498,111.0,257.0,58.0,22.0
2016-17,39187,Jeremain Lens,Midfielder,2.0,,68.0,0.1307,0.5448,13.0,8.0,3.0,2.0
2016-17,39194,Jan Vertonghen,Defender,33.0,33.0,2897.0,0.5674,0.6877,679.0,858.0,189.0,34.0
2016-17,39215,Michel Vorm,Goalkeeper,5.0,4.0,415.0,,0.0055,10.0,78.0,41.0,1.0
2016-17,39472,Dieumerci Mbokani,Forward,12.0,8.0,763.0,1.2956,0.2422,82.0,53.0,14.0,3.0
2016-17,39487,Erik Pieters,Defender,36.0,35.0,3151.0,0.6918,2.0214,555.0,550.0,191.0,81.0
2016-17,39847,Steven Defour,Midfielder,21.0,16.0,1078.0,0.5421,1.1408,225.0,147.0,93.0,15.0
2016-17,40002,Matteo Darmian,Defender,18.0,15.0,1333.0,0.0681,0.241,257.0,233.0,71.0,27.0
2016-17,40142,Andy Carroll,Forward,18.0,15.0,1313.0,3.7995,1.778,176.0,123.0,32.0,3.0
2016-17,40145,Jack Cork,Defender,30.0,25.0,2233.0,1.4952,0.8302,504.0,399.0,179.0,44.0
2016-17,40146,Ryan Bertrand,Defender,28.0,28.0,2508.0,0.772,2.8833,628.0,525.0,141.0,23.0
2016-17,40202,George Friend,Defender,24.0,20.0,1960.0,0.6952,0.8248,290.0,356.0,116.0,47.0
2016-17,40276,Bojan,Forward,9.0,5.0,475.0,2.9044,0.3594,110.0,41.0,17.0,5.0
2016-17,40349,Asmir Begovic,Goalkeeper,2.0,2.0,180.0,,0.0006,4.0,27.0,11.0,
2016-17,40383,Fraser Forster,Goalkeeper,38.0,38.0,3420.0,,0.0516,198.0,741.0,233.0,
2016-17,40387,Dan Gosling,Midfielder,27.0,14.0,1357.0,1.2681,1.0822,437.0,273.0,100.0,40.0
2016-17,40399,Sam Vokes,Forward,37.0,21.0,2055.0,8.8176,0.8843,232.0,243.0,50.0,7.0
2016-17,40555,Joe Allen,Midfielder,36.0,34.0,2936.0,5.3194,5.0427,671.0,344.0,234.0,50.0
2016-17,40616,Stephen Ward,Defender,37.0,37.0,3232.0,1.6212,2.1653,410.0,560.0,177.0,47.0
