season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,team_match,events_stats,team_id,exposed,PRESENT,20
2016-17,team_match,events_stats,totalAttAssist,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalBackZonePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalChippedPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalClearance,exposed,PRESENT,20
2016-17,team_match,events_stats,totalContest,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalCornersIntobox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalCross,exposed,PRESENT,20
2016-17,team_match,events_stats,totalCrossNocorner,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalFastbreak,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalFinalThirdPasses,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalFlickOn,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalFwdZonePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalHighClaim,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalKeeperSweeper,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalLaunches,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalLayoffs,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalLongBalls,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalOffside,exposed,PRESENT,20
2016-17,team_match,events_stats,totalPass,exposed,PRESENT,20
2016-17,team_match,events_stats,totalPullBack,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalRedCard,exposed,PRESENT,20
2016-17,team_match,events_stats,totalScoringAtt,exposed,PRESENT,20
2016-17,team_match,events_stats,totalTackle,exposed,PRESENT,20
2016-17,team_match,events_stats,totalThroughBall,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalThrows,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,totalYelCard,exposed,PRESENT,20
2016-17,team_match,events_stats,touches,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,touchesInOppBox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,unsuccessfulTouch,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,venue,exposed,PRESENT,20
2016-17,team_match,events_stats,wonContest,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,wonCorners,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,wonTackle,exposed,PRESENT,20
2016-17,team_match,events_stats,yellowCard,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,expectedAssists,exposed,ABSENT,20
2016-17,team_match,events_stats,expectedGoals,exposed,ABSENT,20
2016-17,team_match,events_stats,expectedGoalsOnTarget,exposed,ABSENT,20
2016-17,player_match,players_match_stats,accurateCross,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,accurateKeeperSweeper,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,accurateLongBalls,exposed,PRESENT,20
2016-17,player_match,players_match_stats,accurateOppositionHalfPasses,exposed,PRESENT,20
2016-17,player_match,players_match_stats,accurateOwnHalfPasses,exposed,PRESENT,20
2016-17,player_match,players_match_stats,accuratePass,exposed,PRESENT,20
2016-17,player_match,players_match_stats,aerialLost,exposed,PRESENT,20
2016-17,player_match,players_match_stats,aerialWon,exposed,PRESENT,20
2016-17,player_match,players_match_stats,ballRecovery,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,bigChanceCreated,exposed,PRESENT,20
2016-17,player_match,players_match_stats,bigChanceMissed,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,blockedScoringAttempt,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,challengeLost,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,clearanceOffLine,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,crossNotClaimed,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,dispossessed,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,duelLost,exposed,PRESENT,20
2016-17,player_match,players_match_stats,duelWon,exposed,PRESENT,20
2016-17,player_match,players_match_stats,errorLeadToAGoal,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,errorLeadToAShot,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,fouls,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,gameweek,exposed,PRESENT,20
2016-17,player_match,players_match_stats,goalAssist,exposed,PRESENT,20
2016-17,player_match,players_match_stats,goals,exposed,PRESENT,20
2016-17,player_match,players_match_stats,goodHighClaim,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,hitWoodwork,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,interceptionWon,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,keyPass,exposed,PRESENT,20
2016-17,player_match,players_match_stats,lastManTackle,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,matchId,exposed,PRESENT,20
2016-17,player_match,players_match_stats,minutesPlayed,exposed,PRESENT,20
2016-17,player_match,players_match_stats,onTargetScoringAttempt,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,outfielderBlock,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,ownGoals,exposed,PRESENT,20
2016-17,player_match,players_match_stats,penaltyConceded,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,penaltyFaced,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,penaltyMiss,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,penaltySave,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,penaltyWon,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,pl_code,exposed,PRESENT,20
2016-17,player_match,players_match_stats,playerId,exposed,PRESENT,20
2016-17,player_match,players_match_stats,playerName,retained,PRESENT,20
2016-17,player_match,players_match_stats,position,retained,PRESENT,20
2016-17,player_match,players_match_stats,possessionLostCtrl,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,punches,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,rating,exposed,PRESENT,20
2016-17,player_match,players_match_stats,savedShotsFromInsideTheBox,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,saves,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,season,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,shotOffTarget,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,slug,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,substitute,retained,PRESENT,20
2016-17,player_match,players_match_stats,substitute.1,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,team,exposed,PRESENT,20
2016-17,player_match,players_match_stats,team_id,exposed,PRESENT,20
2016-17,player_match,players_match_stats,totalClearance,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalContest,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalCross,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalKeeperSweeper,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalLongBalls,exposed,PRESENT,20
2016-17,player_match,players_match_stats,totalOffside,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalOppositionHalfPasses,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalOwnHalfPasses,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,totalPass,exposed,PRESENT,20
2016-17,player_match,players_match_stats,totalShots,UNCATALOGUED,PRESENT,20
