frl_season,frl_fixture_id,frl_fpl_fixture_key,frl_fpl_player_key,frl_fpl_gameweek,frl_player_identity_key,frl_player_identity_status,frl_player_identity_route,frl_team_id,frl_opponent_team_id,frl_was_home,frl_fixture_relationship_status,frl_team_relationship_status,frl_observation_status,frl_participation_status,source_release_sha,source_repository,source_path,source_sha256,source_retrieved_at,source_element,source_position,source_player_code,source_first_name,source_second_name,source_fixture_code,source_total_points,source_modified,source_minutes,source_goals_scored,source_assists,source_clean_sheets,source_goals_conceded,source_own_goals,source_penalties_saved,source_penalties_missed,source_yellow_cards,source_red_cards,source_saves,source_bonus,source_bps,source_influence,source_creativity,source_threat,source_ict_index,source_clearances_blocks_interceptions,source_recoveries,source_tackles,source_defensive_contribution,source_starts,source_expected_goals,source_expected_assists,source_expected_goal_involvements,source_expected_goals_conceded,source_value,source_transfers_balance,source_selected,source_transfers_in,source_transfers_out,source_team_code
2026-27,1,1,22,1,player_match:1401702,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,22,MID,499175,Ethan,Nwaneri,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,1260,0,0,3
2026-27,1,1,23,1,player_match:904835,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,23,MID,438098,Fábio,Ferreira Vieira,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,892,0,0,3
2026-27,1,1,24,1,player_match:826139,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,24,MID,200641,Reiss,Nelson,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,853,0,0,3
2026-27,1,1,25,1,player_match:804508,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,25,FWD,224117,Viktor,Gyökeres,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,75,0,816962,0,0,3
2026-27,1,1,26,1,player_match:836705,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,3,9,true,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,26,FWD,219847,Kai,Havertz,2645195,6,False,90,1,0,1,0,0,0,0,0,0,0,0,34,37.2,13.2,25.0,7.5,2,0,0,2,1,0.26,0.03,0.29,0.20,75,0,468616,0,0,3
2026-27,1,1,27,1,player_match:794839,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,27,FWD,205651,Gabriel,Fernando de Jesus,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,31403,0,0,3
2026-27,1,1,31,1,player_match:827679,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,3,9,true,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,31,DEF,199798,Ezri,Konsa Ngoyo,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,1206127,0,0,3
2026-27,1,1,104,1,player_match:885864,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,9,3,false,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,104,MID,428580,Frank,Onyeka,2645195,2,False,90,0,0,0,3,0,0,0,0,0,0,0,8,3.6,1.6,0.0,0.5,3,5,1,9,1,0.00,0.01,0.01,1.88,50,0,13188,0,0,9
2026-27,1,1,110,1,player_match:1005800,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,9,3,false,VERIFIED,VERIFIED,OBSERVED,STARTED,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,110,GKP,472739,Carl,Rushworth,2645195,1,False,90,0,0,0,3,0,0,0,0,0,2,0,0,14.2,0.0,0.0,1.4,1,7,0,0,1,0.00,0.01,0.01,1.88,45,0,100521,0,0,9
2026-27,1,1,171,1,fpl_player:484389,SOURCE_NATIVE_VERIFIED,SOURCE_NATIVE_FPL_PLAYER_CODE,9,3,false,VERIFIED,VERIFIED,OBSERVED,REGISTERED_ZERO_MINUTES,1ec7f0dc79055902251cd938650f622b0e79f3cc,https://github.com/imadeddine-belkat/Premier-League-Stats.git,_merged/players/2026-27_all_players_gw.csv,a1c7a4a79f9505c517dfb17db8dd7d6aed653bde289d3d6587b17c0bc5c25de8,2026-08-31T13:26:12Z,171,GKP,484389,Oliver,Dovin,2645195,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,142267,0,0,9
