endpoint,field_path,field_name,field_type,sample
player_leaderboard,data[].stats.successfulLaunches,successfulLaunches,float,1.0
player_leaderboard,data[].stats.successfulLayoffs,successfulLayoffs,float,33.0
player_leaderboard,data[].stats.successfulLongPasses,successfulLongPasses,float,4.0
player_leaderboard,data[].stats.successfulPassesOppositionHalf,successfulPassesOppositionHalf,float,161.0
player_leaderboard,data[].stats.successfulPassesOwnHalf,successfulPassesOwnHalf,float,92.0
player_leaderboard,data[].stats.successfulShortPasses,successfulShortPasses,float,248.0
player_leaderboard,data[].stats.tacklesLost,tacklesLost,float,6.0
player_leaderboard,data[].stats.tacklesWon,tacklesWon,float,9.0
player_leaderboard,data[].stats.throughBalls,throughBalls,float,6.0
player_leaderboard,data[].stats.throwInsToOwnPlayer,throwInsToOwnPlayer,float,1.0
player_leaderboard,data[].stats.timePlayed,timePlayed,float,2958.0
player_leaderboard,data[].stats.timesTackled,timesTackled,float,38.0
player_leaderboard,data[].stats.totalClearances,totalClearances,float,42.0
player_leaderboard,data[].stats.totalFoulsConceded,totalFoulsConceded,float,24.0
player_leaderboard,data[].stats.totalFoulsWon,totalFoulsWon,float,25.0
player_leaderboard,data[].stats.totalLossesOfPossession,totalLossesOfPossession,float,225.0
player_leaderboard,data[].stats.totalPasses,totalPasses,float,384.0
player_leaderboard,data[].stats.totalRedCards,totalRedCards,float,0.0
player_leaderboard,data[].stats.totalShots,totalShots,float,102.0
player_leaderboard,data[].stats.totalTackles,totalTackles,float,15.0
player_leaderboard,data[].stats.totalTouchesInOppositionBox,totalTouchesInOppositionBox,float,213.0
player_leaderboard,data[].stats.totalUnsuccessfulPassesExclCrossesAndCorners,totalUnsuccessfulPassesExclCrossesAndCorners,float,132.0
player_leaderboard,data[].stats.touches,touches,float,778.0
player_leaderboard,data[].stats.unsuccessfulCrossesAndCorners,unsuccessfulCrossesAndCorners,float,2.0
player_leaderboard,data[].stats.unsuccessfulCrossesOpenPlay,unsuccessfulCrossesOpenPlay,float,2.0
player_leaderboard,data[].stats.unsuccessfulDribbles,unsuccessfulDribbles,float,15.0
player_leaderboard,data[].stats.unsuccessfulLaunches,unsuccessfulLaunches,float,4.0
player_leaderboard,data[].stats.unsuccessfulLayoffs,unsuccessfulLayoffs,float,10.0
player_leaderboard,data[].stats.unsuccessfulLongPasses,unsuccessfulLongPasses,float,10.0
player_leaderboard,data[].stats.unsuccessfulPassesOwnHalf,unsuccessfulPassesOwnHalf,float,27.0
player_leaderboard,data[].stats.unsuccessfulShortPasses,unsuccessfulShortPasses,float,122.0
player_leaderboard,data[].stats.winningGoal,winningGoal,float,10.0
player_leaderboard,data[].stats.yellowCards,yellowCards,float,2.0
player_leaderboard,pagination,pagination,dict,"{'_limit': 1, '_prev': None, '_next': 'eyJjb21wZXRpdGlvbl9pZCI6ICI4IiwgInBsYXllcl9pZCI6ICIyMjMwOTQiLCAic2Vhc29uX2lkIjogIjIwMjUifV9feyJfbGkiOiBbMjcuMF19'}"
player_leaderboard,pagination._limit,_limit,int,1
player_leaderboard,pagination._next,_next,str,'eyJjb21wZXRpdGlvbl9pZCI6ICI4IiwgInBsYXllcl9pZCI6ICIyMjMwOTQiLCAic2Vhc29uX2lkIjogIjIwMjUifV9feyJfbGkiOiBbMjcuMF19'
player_leaderboard,pagination._prev,_prev,NoneType,None
