field_name,source_surface,grain,resource,source_identity_required,relationship_note
playerId,FRL_LOCAL_CSV,player_match,player_match,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].influence_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].influence_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].known_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].minutes,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].news,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].news_added,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].now_cost,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].now_cost_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].now_cost_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].opta_code,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].own_goals,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].penalties_missed,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].penalties_order,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].penalties_saved,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].penalties_text,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].photo,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].points_per_game,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].points_per_game_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].points_per_game_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_calibrating,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_hourly_rate,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_locked_until,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_percent,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_projections,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_projections[].likelihood,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_projections[].offset,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].price_change_projections[].projected_percent,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].recoveries,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].red_cards,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].region,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].removed,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].saves,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].saves_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].scout_news_link,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].scout_risks,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].second_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].selected_by_percent,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].selected_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].selected_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].special,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
